Rank,Major,Degree Type,Early Career Pay,Mid-Career Median Salary,High Meaning
387,Business Administration & Accounting,Bachelors,59500.0,95200.0,54%
387,History & Politics,Bachelors,55300.0,95200.0,58%
387,Nursing Science,Bachelors,75600.0,95200.0,84%
390,Global Business,Bachelors,62000.0,95100.0,31%
390,Integrated Marketing Communications,Bachelors,53500.0,95100.0,38%
392,American History (United States),Bachelors,58900.0,94900.0,49%
393,Architectural Studies,Bachelors,50900.0,94800.0,38%
393,Communication,Bachelors,54800.0,94800.0,46%
393,Personnel Management,Bachelors,57900.0,94800.0,68%
396,General Business,Bachelors,56300.0,94700.0,51%
396,Interior Architecture,Bachelors,53500.0,94700.0,48%
396,Public Affairs,Bachelors,59400.0,94700.0,52%
396,Natural Sciences,Bachelors,49500.0,94700.0,54%
400,Writing,Bachelors,49900.0,94600.0,44%
401,Human Biology,Bachelors,57400.0,94500.0,72%
401,Marketing & Mass Communications,Bachelors,53700.0,94500.0,40%
401,Computer Art,Bachelors,44600.0,94500.0,33%
404,French Language,Bachelors,56100.0,94100.0,48%
404,Journalism,Bachelors,52300.0,94100.0,44%
406,Interpersonal & Organizational Communication,Bachelors,47500.0,94000.0,72%
406,Organizational Communication,Bachelors,52400.0,94000.0,48%
406,Textile Design,Bachelors,56200.0,94000.0,36%
409,Biology & Chemistry,Bachelors,55700.0,93900.0,66%
409,Nursing,Bachelors,73100.0,93900.0,82%
409,Public Relations & Communication,Bachelors,51700.0,93900.0,48%
412,Environmental & Natural Resource Economics,Bachelors,58600.0,93700.0,66%
413,Biology,Bachelors,53500.0,93600.0,65%
413,Environmental Management,Bachelors,57500.0,93600.0,63%
413,General & Strategic Management,Bachelors,56800.0,93600.0,52%
416,Bachelor in Science Nursing,Bachelors,73700.0,93400.0,80%
416,History,Bachelors,54300.0,93400.0,47%
418,Literature,Bachelors,53200.0,93300.0,45%
419,Law,Bachelors,59900.0,93200.0,51%
420,Physiology,Bachelors,55500.0,93100.0,66%
421,Entrepreneurial Studies,Bachelors,54800.0,93000.0,32%
421,Public Relations (PR),Bachelors,51800.0,93000.0,43%
421,Retail Management,Bachelors,60400.0,93000.0,39%
424,Computer Aided Drafting & Design (CADD),Bachelors,56300.0,92900.0,49%
424,Management & Organization,Bachelors,78600.0,92900.0,55%
424,Agriculture,Bachelors,53600.0,92900.0,62%
